tweeted,feed_date,feed_weekday,archive_url,title,mp3_url,synopsis,broadcast_date,physical_format,duration,digital_format,ownership,language,program_sponsor,broadcast_datetime,broadcast_year,broadcast_month,broadcast_monthday,has_mp3_url,mp3_path,feed_url
x,2021-05-10,2,/programs/terkel-comments-reads-charles-dickens-and-interviews-british-actor-george-harland,"Terkel comments, reads from Charles Dickens and interviews British Actor George Harland",https://s3.amazonaws.com/wfmt-studs-terkel/published/21231.mp3,Readings (3) from Charles Dickens and interviewing with British Actor George Harland.,"May. 10, 1982",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"39 minutes, 14 seconds",WAV,The Chicago History Museum,English,,1982-05-10,1982.0,5.0,10.0,True,mp3/21231.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/21231.mp3
x,2021-05-14,6,/programs/studs-talks-people-street-and-lincoln-park-be-mothers-day-1967-part-1,Studs talks to people on the street and in Lincoln Park at the Be-In on Mothers Day 1967; part 1,https://s3.amazonaws.com/wfmt-studs-terkel/published/13494.mp3,"Studs Terkel spends time walking around the Lincoln Park Be-In Mother's Day, 1967.  He talks to people of all walks of life and generations.  The  question, ""What is a Be-In?"" is posed to all he talks to.","May. 14, 1967",1 sound tape reel (ca. 60 min.) : 5 in.,"47 minutes, 20 seconds",WAV,The Chicago History Museum,English,,1967-05-14,1967.0,5.0,14.0,True,mp3/13494.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/13494.mp3
x,2021-05-15,7,/programs/studs-talks-people-street-and-lincoln-park-be-mothers-day-1967-part-2,Studs talks to people on the street and in Lincoln Park at the Be-In on Mothers Day 1967 ; part 2,https://s3.amazonaws.com/wfmt-studs-terkel/published/13497.mp3,"Studs Terkel spends time walking around the Lincoln Park Be-In Mother's Day, 1967.  He talks to people of all walks of life and generations.  The  question, ""What is a Be-In?"" is posed to all he talks to.","May. 14, 1967",1 sound tape reel (ca. 60 min.) : 5 in.,"25 minutes, 59 seconds",WAV,The Chicago History Museum,English,,1967-05-14,1967.0,5.0,14.0,True,mp3/13497.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/13497.mp3
x,2021-05-22,7,/programs/jimmy-breslin-journalist-and-author-discusses-his-book-about-watergate-affair,"Jimmy Breslin, journalist and author discusses his book about the Watergate Affair",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F23230.mp3,"Discussing ""How the Good Guys Finally Won : Notes from an Impeachment Summer"" and interviewing Jimmy Breslin.
","May. 22, 1975",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"52 minutes, 39 seconds",WAV,The Chicago History Museum,English,,1975-05-22,1975.0,5.0,22.0,True,mp3/23230.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/23230.mp3
x,2021-05-28,6,/programs/soviet-intellectuals-discuss-soviet-arts-and-culture,Soviet intellectuals discuss Soviet arts and culture,https://s3.amazonaws.com/wfmt-studs-terkel/published/10765.mp3,"Soviet intellectuals Tamara Mamedova, Nicolai Pogodin, and Anatol Safronov talk with Studs Terkel about their work with the Institute for Soviet-American Relations (U.S.) and Soviet arts and culture.","May. 28, 1962",1 sound tape reel (ca. 74 min.) : 10 1/2 in.,1 second,WAV,The Chicago History Museum,English,,1962-05-28,1962.0,5.0,28.0,True,mp3/10765.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10765.mp3
x,2021-05-31,2,/programs/survivors-hiroshima-atomic-bomb-discuss-event-and-nuclear-nonproliferation,Survivors of the Hiroshima atomic bomb discuss the event and nuclear nonproliferation,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56466.mp3,"Discussing Hiroshima and nuclear nonproliferation with survivors of the Hiroshima bomb of August 6, 1945 and activists organizing against nuclear proliferation.","May. 31, 1982",1 sound tape reel (ca. 57.45 min.) : 10 1/2 in.,"54 minutes, 57 seconds",WAV,The Chicago History Museum,English,,1982-05-31,1982.0,5.0,31.0,True,mp3/56466.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56466.mp3
x,2021-06-05,7,/programs/edmund-white-talks-about-his-book-states-desire,"Edmund White talks about his book ""States of Desire""",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F22949.mp3,"Edmund White talks about his book ""States of Desire: Travels in Gay America,"" published in 1980. ","Jun. 5, 1980",1 sound tape reel (ca. 54.06 min.) : 10 1/2 in.,"54 minutes, 4 seconds",WAV,The Chicago History Museum,English,,1980-06-05,1980.0,6.0,5.0,True,mp3/22949.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/22949.mp3
x,2021-06-08,3,/programs/rosa-parks-and-myles-horton-discuss-highlander-folk-school-montgomery-bus-boycott-and,"Rosa Parks and Myles Horton discuss the Highlander Folk School, the Montgomery Bus Boycott, and the American Civil Rights Movement",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F44123.mp3,"Rosa Parks and Myles Horton discuss the importance of the Highlander Folk School, the Montgomery Bus Boycott, and the American Civil Rights Movement. The story of these two prominent figures of the Civil Rights Movement have intervened in their fight for social equality. Includes a fragment of an interview with E. D. Nixon well known civil rights leader.","Jun. 8, 1973",1 sound tape reel (ca. 57.10 min.) : 10 1/2 in.,"55 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1973-06-08,1973.0,6.0,8.0,True,mp3/44123.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/44123.mp3
x,2021-06-14,2,/programs/discussing-book-fates-worse-death-autobiographical-collage-1980s-author-kurt-vonnegut,"Discussing the book ""Fates Worse Than Death: An Autobiographical Collage of the 1980s"" with the author Kurt Vonnegut",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F32027.mp3,,"Jun. 14, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 32 seconds",WAV,The Chicago History Museum,English,,1991-06-14,1991.0,6.0,14.0,True,mp3/32027.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/32027.mp3
x,2021-06-15,3,/programs/discussing-samuel-beckett-play-waiting-godot-tragicomedy-2-acts-irish-actors-barry,"Discussing the Samuel Beckett play ""Waiting For Godot; Tragicomedy in 2 Acts,"" with Irish actors Barry McGovern and Johnny Murphy. McGovern portrays Vladimir and Murphy portrays Estragon in a production staged by the Dublin Gate Theatre",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38319.mp3,,"Jun. 15, 1992",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 33 seconds",WAV,The Chicago History Museum,English,,1992-06-15,1992.0,6.0,15.0,True,mp3/38319.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/38319.mp3
x,2021-06-19,7,/programs/richard-ford-conversation-studs-terkel-0,Richard Ford in conversation with Studs Terkel,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F33154.mp3,"Discussing the novel ""Wildlife"" (published by Atlantic Monthly Press) with the author Richard Ford.","Jun. 19, 1990",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1990-06-19,1990.0,6.0,19.0,True,mp3/33154.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/33154.mp3
x,2021-06-22,3,/programs/gore-vidal-discusses-his-book-lincoln,Gore Vidal discusses his book “Lincoln”,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F34366.mp3,"Discussing the book ""Lincoln"" with the author Gore Vidal.
","Jun. 22, 1984",1 sound tape reel (ca. 56.10 min.) : 10 1/2 in.,"51 minutes, 12 seconds",WAV,The Chicago History Museum,English,,1984-06-22,1984.0,6.0,22.0,True,mp3/34366.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/34366.mp3
x,2021-07-02,6,/programs/mel-brooks-discusses-his-new-movie-producers,"Mel Brooks discusses his new movie ""The Producers""",https://s3.amazonaws.com/wfmt-studs-terkel/published/6378.mp3,"In this interview Mel Brooks discusses his new movie ""The Producers"". The following is discussed: the plot; the other actors in the film; the satirical and campy nature of the film; . Brooks performs several different impersonations throughout the interview.","Jul. 2, 1968",1 sound tape reel (ca. 43 min.) : 10 1/2 in.,"42 minutes, 28 seconds",WAV,The Chicago History Museum,English,,1968-07-02,1968.0,7.0,2.0,True,mp3/6378.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/6378.mp3
x,2021-07-09,6,/programs/reading-poetry-actor-gary-merrill,Reading poetry with actor Gary Merrill.,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38828.mp3,Terkel comments and reads poetry with Gary Merrill,"Jul. 9, 1985",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"44 minutes, 40 seconds",WAV,The Chicago History Museum,English,,1985-07-09,1985.0,7.0,9.0,True,mp3/38828.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/38828.mp3
x,2021-07-14,4,/programs/elia-kazan-discusses-book-acts-love,"Elia Kazan discusses the book ""Acts of love""",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F23371.mp3,,"Jul. 14, 1978",1 sound tape reel (ca. 52.50 min.) : 10 1/2 in.,"52 minutes, 59 seconds",WAV,The Chicago History Museum,English,,1978-07-14,1978.0,7.0,14.0,True,mp3/23371.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/23371.mp3
x,2021-07-21,4,/programs/big-bill-broonzy-discusses-blues-part-1,Big Bill Broonzy discusses the blues ; part 1,https://wfmt-studs-terkel.s3.amazonaws.com/published/56311.mp3,"Big Bill Broonzy discusses the blues and growing up in Arkansas with parents who were former slaves.  He talks about the family dynamic and sings: ""Crying Joe Turner"", ""C.C. Rider"", ""Make my get away"", and "" You've got to stand your test in judgement"" .  Part 1","Jul. 22, 1953",2 sound tape reels (ca. 47.37 min.): 7 in.,"17 minutes, 9 seconds",WAV,The Chicago History Museum,English,In memory of Jean Keane Holcomb Schmidt,1953-07-22,1953.0,7.0,22.0,True,mp3/56311.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56311.mp3
x,2021-07-22,5,/programs/big-bill-broonzy-discusses-blues-part-2,Big Bill Broonzy discusses the blues ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published/56306.mp3,"Big Bill Broonzy discusses the blues and growing up in Arkansas with parents who were former slaves.  He talks about the family dynamic and sings: ""Willie Mae"", ""Crawdad song"", ""Going down this road feeling bad"" and ""John Henry"".","Jul. 22, 1953",2 sound tape reels (ca. 47.37 min.): 7 in.,"9 minutes, 8 seconds",WAV,The Chicago History Museum,English,In memory of Jean Keane Holcomb Schmidt,1953-07-22,1953.0,7.0,22.0,True,mp3/56306.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56306.mp3
x,2021-07-28,4,/programs/nora-ephron-discusses-feminism-and-her-book-crazy-salad,"Nora Ephron discusses feminism and her book ""Crazy Salad""",https://s3.amazonaws.com/wfmt-studs-terkel/published/7795.mp3,"Nora Ephron discusses the women’s movement and her book, “Crazy Salad: Some Things About Women.” Ephron discusses the influence of writer Dorothy Parker on her work, as well as topics including women’s rights; the exploitation of women in politics, war, and advertising; the many conflicts she faces in her role as a journalist; and traditional and non-traditional gender roles. Includes an excerpt from a previous interview with Dorothy Parker.  
","Jul. 28, 1975",1 sound tape reel (ca. 54 min.) : 10 1/2 in.,"54 minutes, 42 seconds",WAV,The Chicago History Museum,English,,1975-07-28,1975.0,7.0,28.0,True,mp3/7795.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/7795.mp3
x,2021-08-05,5,/programs/david-mccullough-discusses-his-book-mornings-horseback,"David McCullough discusses his book ""Mornings on Horseback""",https://s3.amazonaws.com/wfmt-studs-terkel/published/10957.mp3,"Discussing the book ""Mornings on Horseback"" with author David McCullough.","Aug. 5, 1981",1 sound tape reel (ca. 58.51 min.) : 10 1/2 in.,"58 minutes, 56 seconds",WAV,The Chicago History Museum,English,,1981-08-05,1981.0,8.0,5.0,True,mp3/10957.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10957.mp3
x,2021-08-09,2,/programs/marian-mcpartland-and-jimmy-mcpartland-discuss-their-careers-jazz,Marian McPartland and Jimmy McPartland discuss their careers in Jazz,https://s3.amazonaws.com/wfmt-studs-terkel/published/19880.mp3,Studs interviews Marian and Jimmy McPartland.  The McPartlands reflect on those in Jazz who have influenced them.  Studs talks to Marian about women in Jazz.  They discuss the Jazz audience.  The musical numbers are removed from this edited version of the original recording.,"Aug. 9, 1978","1 sound tape reel (ca. 51.50 min.) : 10 1/2 in. Edited copy, 1979 July 10-T3024.26.","22 minutes, 31 seconds",WAV,The Chicago History Museum,English,,1978-08-09,1978.0,8.0,9.0,True,mp3/19880.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/19880.mp3
x,2021-08-15,1,/programs/studs-terkel-comments-and-presents-picasso-unveiling-ceremony,Studs Terkel comments and presents Picasso unveiling ceremony,https://wfmt-studs-terkel.s3.amazonaws.com/published/55898.mp3,"Studs Terkel presents the unveiling of the Chicago Picasso on August 15th, 1967, asking bystanders for their opinion on the new sculpture.","Aug. 15, 1967","1 sound tape reel (ca. 60 min.) : 7 in., 1 sound tape reel (ca. 60 min.) : 10 1/2 in. Copy, Aug. 10, 1992-T2282B.","24 minutes, 31 seconds",WAV,The Chicago History Museum,English,,1967-08-15,1967.0,8.0,15.0,True,mp3/55898.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/55898.mp3
x,2021-08-18,4,/programs/erik-bye-discusses-history-norwegian-immigration-america-19th-century-and-his-work,Erik Bye discusses the history of Norwegian immigration to America in the 19th century and his work as a television journalist and singer,https://s3.amazonaws.com/wfmt-studs-terkel/published/19572.mp3,Studs interviews Erik Bye about Norwegian immigration to America and his music.  They discuss the reasons why people left Norway in the 19th century and the conditions they suffered when they settled in New York.  Bye explains Norwegian history and why the Norwegians moved from the American east coast to the west.  Studs notes that Bye is in Chicago to gather information to produce a Norwegian television documentary about early Norwegian immigrants.  Bye shares his interpretations of some of his songs and explains Norwegian music.  He elaborates on the Hardanga fiddle instrument and the artists who played it.  Bye discusses the upcoming Norwegian celebration in Chicago for which their King will visit.  The musical numbers are removed from this edited version of the original recording.,"Aug. 18, 1975",1 sound tape reel (ca. 57.05 min.) : 10 1/2 in.,"33 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1975-08-18,1975.0,8.0,18.0,True,mp3/19572.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/19572.mp3
x,2021-08-23,2,/programs/interviewing-author-screenwriter-and-director-john-sayles,"Interviewing author, screenwriter and director John Sayles",https://wfmt-studs-terkel.s3.amazonaws.com/published/35256.mp3,,"Aug. 23, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"33 minutes, 19 seconds",WAV,The Chicago History Museum,English,,1988-08-23,1988.0,8.0,23.0,True,mp3/35256.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/35256.mp3
x,2021-08-26,5,/programs/oceanographer-jacques-cousteau-talks-studs-terkel,Oceanographer Jacques Cousteau talks with Studs Terkel,https://s3.amazonaws.com/wfmt-studs-terkel/published/7099.mp3,Oceanographer Jacques Cousteau discusses man's effect on the planet.  Includes a clip with whale sounds and statements by Joan McIntyre.,"Aug. 26, 1976",1 sound tape reel (ca. 54.20 min.) : 10 1/2 in.,"54 minutes, 8 seconds",WAV,The Chicago History Museum,English,,1976-08-26,1976.0,8.0,26.0,True,mp3/7099.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/7099.mp3
x,2021-09-01,4,/programs/studs-terkel-interviews-writer-tom-wolfe-part-1,Studs Terkel interviews writer Tom Wolfe ; part 1,https://s3.amazonaws.com/wfmt-studs-terkel/published/13110.mp3,"Studs Terkel and Tom Wolfe discuss Wolfe's recent work.

At the time of the interview, Wolfe had recently released ""The Electric Kool-Aid Acid Test"", his chronicle of Ken Kesey and his colleagues, and a collection of articles, ""The Pump House Gang"".","Sep. 1, 1968","1 sound tape reel (ca. 60 min.) : 10 1/2 in., 2 sound tape reels (ca. 60 min.) : 7 in.",1 second,WAV,The Chicago History Museum,English,,1968-09-01,1968.0,9.0,1.0,True,mp3/13110.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/13110.mp3
x,2021-09-02,5,/programs/studs-terkel-interviews-writer-tom-wolfe-part-2,Studs Terkel  interviews writer Tom Wolfe ; part 2,https://s3.amazonaws.com/wfmt-studs-terkel/published/13109.mp3,"Studs Terkel and Tom Wolfe discuss Wolfe's recent work.

At the time of the interview, Wolfe had recently released ""The Electric Kool-Aid Acid Test"", his chronicle of Ken Kesey and his colleagues, and a collection of articles, ""The Pump House Gang"".","Sep. 1, 1968","1 sound tape reel (ca. 60 min.) : 10 1/2 in., 2 sound tape reels (ca. 60 min.) : 7 in.","36 minutes, 26 seconds",WAV,The Chicago History Museum,English,,1968-09-01,1968.0,9.0,1.0,True,mp3/13109.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/13109.mp3
x,2021-09-05,1,/programs/buster-keaton-discusses-release-when-comedy-was-king,"Buster Keaton discusses the release of ""When Comedy Was King""",https://s3.amazonaws.com/wfmt-studs-terkel/published/9932.mp3,"Silent film pioneer Buster Keaton discusses his career following the release of ""When Comedy Was King,"" a compilation of some classic shorts by Keaton, Charlie Chaplin, Harold Lloyd, and others. Keaton reveals how they shot the early silent films, generated material and gags, how they planned big chase scenes, the resurging European interest in silent classics, and more. Studs asks Keaton about the stylistic differences between him and Chaplin, whether he would recreate silent films, and how they compare to today's film-making. Keaton reveals how little was scripted but rather improvised in between a start and finish. Keaton describes some classic gags in films like ""The Frozen North,"" ""Sherlock Jr.,"" and ""The Navigator."" The discussion concludes with Keaton's thoughts on performing on television in front of a live audience.","Sep. 5, 1960",1 sound tape reel (ca. 38.09 min.) : 7 in.,"37 minutes, 58 seconds",WAV,The Chicago History Museum,English,,1960-09-05,1960.0,9.0,5.0,True,mp3/9932.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/9932.mp3
x,2021-09-11,7,/programs/brian-dennehy-and-steven-robman-discuss-their-play-rat-skull,"Brian Dennehy and Steven Robman discuss their play ""Rat in the Skull""",https://wfmt-studs-terkel.s3.amazonaws.com/published/45702.mp3,"Director Steven Robman and actor Brian Dennehy discuss their play ""Rat in the Skull"".

Brian Dennehy performs a passage from Rat in the Skull.","Sep. 11, 1985",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"35 minutes, 50 seconds",WAV,The Chicago History Museum,English,,1985-09-11,1985.0,9.0,11.0,True,mp3/45702.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/45702.mp3
x,2021-09-17,6,/programs/discussing-film-stonewall-making-gay-and-lesbian-community-author-reverend-grant-gallup,"Discussing the film ""Before Stonewall the Making of a Gay and Lesbian Community"" with author Reverend Grant Gallup and Chicago gay-friendly bar owner, Marge Summit",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F44735.mp3,"Discussing the film ""Before Stonewall the Making of a Gay and Lesbian Community"" with author Reverend Grant Gallup and Chicago gay-friendly bar owner, Marge Summit","Sep. 17, 1985",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 55 seconds",WAV,The Chicago History Museum,English,,1985-09-17,1985.0,9.0,17.0,True,mp3/44735.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/44735.mp3
x,2021-09-20,2,/programs/blind-john-davis-discusses-chicago-blues,Blind John Davis discusses Chicago blues,https://wfmt-studs-terkel.s3.amazonaws.com/published/56319.mp3,"Blind John Davis, Chicago blues pianist, discusses his time playing in Germany and at the Blue Note jazz club, chitlin' parties, growing up on the West side of Chicago. He also recalls meeting and working with musicians like Tampa Red and Big Bill Broonzy. Music has been removed from this recording for copyright reasons.","Sep. 20, 1977",1 sound tape reel (ca. 54.49 min.) : 10 1/2 in.,"26 minutes, 56 seconds",WAV,The Chicago History Museum,English,,1977-09-20,1977.0,9.0,20.0,True,mp3/56319.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56319.mp3
x,2021-09-26,1,/programs/dr-ef-schumacher-talks-studs-terkel,Dr. E.F. Schumacher talks with Studs Terkel,https://s3.amazonaws.com/wfmt-studs-terkel/published/12368.mp3,,"Sep. 26, 1974",1 sound tape reel (ca. 56.40 min.) : 10 1/2 in.,"57 minutes, 19 seconds",WAV,The Chicago History Museum,English,,1974-09-26,1974.0,9.0,26.0,True,mp3/12368.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/12368.mp3
x,2021-09-29,4,/programs/james-baldwin-discusses-his-book-another-country-and-his-travels-through-africa,"James Baldwin discusses his book ""Another Country"" and his travels through Africa",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56131.mp3,"James Baldwin discusses his book  ""Another Country""  and his trip to Africa.  Mr.Baldwin and Studs speak about  his place in social reform and his fight for civil rights for all.","Sep. 29, 1962","1 sound tape reel (ca. 45 min.) : 7 in. 1962 interview., 1 sound tape reel (ca. 46.46 min.) : 10 1/2 in. 1993 broadcast.","47 minutes, 8 seconds",WAV,The Chicago History Museum,English,,1962-09-29,1962.0,9.0,29.0,True,mp3/56131.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56131.mp3
x,2021-10-01,6,/programs/sidney-poitier-talks-studs-terkel-about-his-most-recent-film-defiant-ones,"Sidney Poitier talks with Studs Terkel about his most recent film ""The Defiant Ones""",https://s3.amazonaws.com/wfmt-studs-terkel/published/11861.mp3,"Bahamian actor Sidney Poitier talks with Studs Terkel about his most recent film ""The Defiant Ones"" and how racial type-casting for typically white roles works in Hollywood films. Besides being an actor, he is also a film director, author, and diplomat.","Oct. 1, 1959",1 sound tape reel (ca. 36 min.) : 10 1/2 in.,"35 minutes, 16 seconds",WAV,The Chicago History Museum,English,,1959-10-01,1959.0,10.0,1.0,True,mp3/11861.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/11861.mp3
x,2021-10-04,2,/programs/carl-sagan-discusses-book-contact,"Carl Sagan discusses the book ""Contact""",https://s3.amazonaws.com/wfmt-studs-terkel/published/12249.mp3,"Discussing the book ""Contact"" (published by Simon & Schuster) with the author, astronomer and science writer Carl Sagan.  Starts with clip from Arthur C. Clarke (1856688-3-1).","Oct. 4, 1985",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"38 minutes, 51 seconds",WAV,The Chicago History Museum,English,,1985-10-04,1985.0,10.0,4.0,True,mp3/12249.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/12249.mp3
x,2021-10-10,1,/programs/interview-art-buchwald,Interview with Art Buchwald,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F30646.mp3,"Discussing the book ""While Reagan Slept"" (published by Putnam) with the author, satirist Art Buchwald.","Oct. 10, 1983",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 8 seconds",WAV,The Chicago History Museum,English,,1983-10-10,1983.0,10.0,10.0,True,mp3/30646.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/30646.mp3
x,2021-10-11,2,/programs/studs-terkel-discusses-busing-school-integration-psychologist-thomas-j-cottle,Studs Terkel discusses busing for school integration with psychologist Thomas J. Cottle,https://s3.amazonaws.com/wfmt-studs-terkel/published/7088.mp3,"Studs Terkel discusses the transportation of students for school integration with psychologist Thomas J. Cottle.

The main topic of conversation is Cottle's book, ""Busing"" (1976, Boston, MA, Beacon Press).

Terkel and Cottle discuss busing in several cities, focusing on Boston, MA, where Cottle did his research and writing.  They each read passages from the book, and discuss the relationship between busing and racism in America.","Oct. 11, 1976",1 sound tape reel (ca. 54.45 min.) : 10 1/2 in.,"54 minutes, 46 seconds",WAV,The Chicago History Museum,English,,1976-10-11,1976.0,10.0,11.0,True,mp3/7088.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/7088.mp3
x,2021-10-17,1,/programs/john-kenneth-galbraith-conversation-studs-terkel-1,John Kenneth Galbraith in conversation with Studs Terkel,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F33308.mp3,"Discussing the book ""The Anatomy of Power"" (published by Houghton Mifflin) with the author, economist John Kenneth Galbraith.","Oct. 17, 1983",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"48 minutes, 8 seconds",WAV,The Chicago History Museum,English,,1983-10-17,1983.0,10.0,17.0,True,mp3/33308.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/33308.mp3
x,2021-10-21,5,/programs/quentin-crisp-discusses-homosexuality,Quentin Crisp discusses homosexuality,https://s3.amazonaws.com/wfmt-studs-terkel/published/7142.mp3,"Quentin Crisp, author of many works about gays in Britain and the United States and, notably, about ""coming out"" as gay in England in the 1930s, discusses homosexuality and his experiences.","Oct. 21, 1992",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,1 second,WAV,The Chicago History Museum,English,,1992-10-21,1992.0,10.0,21.0,True,mp3/7142.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/7142.mp3
x,2021-10-25,2,/programs/discussing-ukrainian-music-oleh-saciuk-0,Discussing Ukrainian music with Oleh Saciuk,https://s3.amazonaws.com/wfmt-studs-terkel/published/20008.mp3,Studs Terkel discussing Ukrainian music with Oleh Saciuk. Includes instrumental music excerpts.,"Oct. 25, 1979",1 sound tape reel (ca. 54.28 min.) :,"33 minutes, 51 seconds",WAV,The Chicago History Museum,English,,1979-10-25,1979.0,10.0,25.0,True,mp3/20008.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/20008.mp3
x,2021-10-31,1,/programs/arlo-guthrie-discusses-his-career,Arlo Guthrie discusses his career,https://s3.amazonaws.com/wfmt-studs-terkel/published/19758.mp3,"Arlo Guthrie discusses his approach to songwriting and how storytelling in song writing has changed. He also talks about what it's like to become known for performing works written by others. Arlo Guthrie's music is played and discussed throughout the interview: ""Manzanillo Bay"", ""Week on the Rag"", ""Buffalo Skinners"", ""City of New Orleans"", ""Darkest Hour"", ""Massachusetts"", and ""Last Train to Glory"".
Music has been removed for copyright reasons.","Oct. 31, 1980",1 sound tape reel (ca. 57.41 min.) : 10 1/2 in.,"27 minutes, 54 seconds",WAV,The Chicago History Museum,English,,1980-10-31,1980.0,10.0,31.0,True,mp3/19758.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/19758.mp3
x,2021-11-03,4,/programs/studs-terkel-moderates-and-comments-round-table-debate-about-montessori-educational-theory,Studs Terkel moderates and comments on a round-table debate about the Montessori educational theory,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F60723.mp3,"A round-table debate about the Montessori educational theory.  Four early childhood development professionals speak of the pros and the cons of the program. Speakers include: Fay Bauling advisor at Wilson Jr. College, Dr. Urban Fleege of DePaul University, Dr. Ner Littner from the Institute of Psychoanalysis, and Hannah MacLaren, head teacher from Ancona School.","Nov. 3, 1964",1 sound tape reel (ca. 85 min.) : 10 1/2 in.,"1 hour, 23 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1964-11-03,1964.0,11.0,3.0,True,mp3/60723.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/60723.mp3
