title,mp3_url,archive_url,synopsis,broadcast_date,physical_format,duration,digital_format,ownership,language,program_sponsor,broadcast_datetime,broadcast_year,broadcast_month,broadcast_monthday,has_mp3_url
"Discussing the book ""Callas"" with the author Arianna Stassinopoulos [Huffington]",,/programs/discussing-book-callas-author-arianna-stassinopoulos-huffington,"Discussing the book ""Callas"" with the author Arianna Stassinopoulos [Huffington].
","Mar. 5, 1981",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"1 hour, 1 minute, 27 seconds",WAV,The Chicago History Museum,English,,1981-03-05,1981.0,3.0,5.0,False
"Discussing the book ""Hand Over Fist"" with the author Henry Noyes",https://wfmt-studs-terkel.s3.amazonaws.com/published/39086.mp3,/programs/discussing-book-hand-over-fist-author-henry-noyes,,"Mar. 5, 1981",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"23 minutes, 14 seconds",WAV,The Chicago History Museum,English,,1981-03-05,1981.0,3.0,5.0,True
Discussing the upcoming biography of American violinist Maud Powell with author Karen Shaffer and violinist and conductor Yehudi Menuhin. Program also includes a discussion of Menuhin's involvement in jazz and Indian music (part 2 of 2).,,/programs/discussing-upcoming-biography-american-violinist-maud-powell-author-karen-shaffer-and-0,,"Mar. 5, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"43 minutes, 55 seconds",WAV,The Chicago History Museum,English,,1986-03-05,1986.0,3.0,5.0,False
"Discussing the Works Progress Administration's (WPA) and Comprehensive Employment and Training Act's (CETA) artist's exhibition, ""Feds: Two Generations of Federally Employed Artists,"" showing at Truman College",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F54081.mp3,/programs/discussing-works-progress-administrations-wpa-and-comprehensive-employment-and-training,,"Mar. 5, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"48 minutes, 12 seconds",WAV,The Chicago History Museum,English,,1986-03-05,1986.0,3.0,5.0,True
Frank Galati in conversation with Studs Terkel,,/programs/frank-galati-conversation-studs-terkel,"Interviewing cast members of ""She Always Said, Pablo,"" with director Frank Galati.","Mar. 5, 1987",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"57 minutes, 42 seconds",WAV,The Chicago History Museum,English,,1987-03-05,1987.0,3.0,5.0,False
"Discussing the book ""My Traitor's Heart: A South African Exile Returns to Face His Country, His Tribe, & His Conscience"" with Rian Malan",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38554.mp3,/programs/discussing-book-my-traitors-heart-south-african-exile-returns-face-his-country-his-tribe-0,,"Mar. 5, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"49 minutes, 15 seconds",WAV,The Chicago History Museum,English,,1991-03-05,1991.0,3.0,5.0,True
Interviewing Serbians,,/programs/interviewing-serbians,Serbians,"Mar. 6, 1963",1 sound tape reel (ca. 64 min.) : 10 1/2 in.,"1 hour, 4 minutes, 39 seconds",WAV,The Chicago History Museum,English,,1963-03-06,1963.0,3.0,6.0,False
Mildred Loomis discusses the green revolution and the back to the land movement ; part 2,https://s3.amazonaws.com/wfmt-studs-terkel/published/10587.mp3,/programs/mildred-loomis-discusses-green-revolution-and-back-land-movement-part-2,"Discussing the green revolution and the ""modern homestead"" and interviewing Mildred Loomis. Mildred Loomis discusses the back to the land movement.","Mar. 6, 1968",2 sound tape reels (ca. 55.46 min.): 7 in.,"20 minutes, 31 seconds",WAV,The Chicago History Museum,English,,1968-03-06,1968.0,3.0,6.0,True
Mildred Loomis discusses the green revolution and the back to the land movement ; part 1,https://s3.amazonaws.com/wfmt-studs-terkel/published/10585.mp3,/programs/mildred-loomis-discusses-green-revolution-and-back-land-movement-part-1,"Discussing the green revolution and the ""modern homestead"" and interviewing Mildred Loomis. Mildred Loomis discusses the back to the land movement.","Mar. 6, 1968",2 sound tape reels (ca. 55.46 min.): 7 in.,"35 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1968-03-06,1968.0,3.0,6.0,True
"Paul Wilkes discusses his book ""Trying Out The Dream""",,/programs/paul-wilkes-discusses-his-book-trying-out-dream,"Paul Wilkes discusses his book ""Trying Out the Dream : a Year in the Life of an American Family"", published in 1973 and the suburban life style of a white American family in the seventies.
","Mar. 6, 1975",1 sound tape reel (ca. 50.24 min.) : 10 1/2 in.,"50 minutes, 34 seconds",WAV,The Chicago History Museum,English,,1975-03-06,1975.0,3.0,6.0,False
"Discussing the nature and function of political action committees (PACs) with the co-chairman of Citizens Against PACs, Philip Stern",,/programs/discussing-nature-and-function-political-action-committees-pacs-co-chairman-citizens,,"Mar. 6, 1984",1 sound tape reel (ca. 38.29 min.) : 10 1/2 in.,"39 minutes, 12 seconds",WAV,The Chicago History Museum,English,,1984-03-06,1984.0,3.0,6.0,False
"Discussing the book ""The Last Song of Manuel Sendero"" with the author Ariel Dorfman",,/programs/discussing-book-last-song-manuel-sendero-author-ariel-dorfman,,"Mar. 6, 1987",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"49 minutes, 46 seconds",WAV,The Chicago History Museum,English,,1987-03-06,1987.0,3.0,6.0,False
Interview with Paul Badura-Skoda,,/programs/interview-paul-badura-skoda,Interviewing pianist Paul Badura-Skoda.,"Mar. 6, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"57 minutes, 12 seconds",WAV,The Chicago History Museum,English,,1989-03-06,1989.0,3.0,6.0,False
"Interviewing Dr. Joseph Rotblat. A Polish-born, British physicist, Dr. Rotblat was the only scientist to quit the Manhattan Project once it was learned that Nazi Germany would be unable to build an atom bomb",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38094.mp3,/programs/interviewing-dr-joseph-rotblat-polish-born-british-physicist-dr-rotblat-was-only-scientist,,"Mar. 6, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"1 hour, 4 minutes, 3 seconds",WAV,The Chicago History Museum,English,,1989-03-06,1989.0,3.0,6.0,True
"Presenting a performance of ""Papageno,"" an adaptation of Mozart's ""The Magic Flute,"" with the Glen Ellyn Children's Chorus and music director Sandra Prodan",,/programs/presenting-performance-papageno-adaptation-mozarts-magic-flute-glen-ellyn-childrens-chorus,Terkel presents a musical performance of the Glen Ellyn Children's Chorus,"Mar. 6, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 49 seconds",WAV,The Chicago History Museum,English,,1991-03-06,1991.0,3.0,6.0,False
"Discussing the book ""Rural Radicals: Righteous Rage in the American Grain"" with the author, historian Catherine McNicol Stock",,/programs/discussing-book-rural-radicals-righteous-rage-american-grain-author-historian-catherine,,"Mar. 6, 1997",1 sound tape reel (ca. 53.56 min.) : 10 1/2 in.,"54 minutes, 45 seconds",WAV,The Chicago History Museum,English,,1997-03-06,1997.0,3.0,6.0,False
"Shirley Bryant, Nancy Fisher, and Nicole Mills discuss sex education",https://s3.amazonaws.com/wfmt-studs-terkel/published/6462.mp3,/programs/shirley-bryant-nancy-fisher-and-nicole-mills-discuss-sex-education,"Shirley Bryant, Nancy Fisher, and Nicole Mills discuss how a new sex education based in the importance of feelings and the use of contraception. ","Mar. 7, 1974",1 sound tape reel (ca. 52.46 min.) : 10 1/2 in.,"54 minutes, 44 seconds",WAV,The Chicago History Museum,English,,1974-03-07,1974.0,3.0,7.0,True
Discussing past and present trends in American writing and interviewing distinguished American literary critic Malcolm Cowley,,/programs/discussing-past-and-present-trends-american-writing-and-interviewing-distinguished,"Discussing past and present trends in American writing and interviewing distinguished American literary critic Malcolm Cowley.
","Mar. 7, 1974",1 sound tape reel (ca. 54.08 min.) : 10 1/2 in.,1 second,WAV,The Chicago History Museum,English,,1974-03-07,1974.0,3.0,7.0,False
"Interview with Stuart Gordon, Jack Wallace, Bruce Taylor and Brian Hickey",,/programs/interview-stuart-gordon-jack-wallace-bruce-taylor-and-brian-hickey,"Interviewing cast members of Organic Theatre's production of ""Huck Finn"" with Stuart Gordon, Jack Wallace, Bruce Taylor and Brian Hickey.","Mar. 7, 1975",1 sound tape reel (ca. 51.20 min.) : 10 1/2 in.,"51 minutes, 32 seconds",WAV,The Chicago History Museum,English,,1975-03-07,1975.0,3.0,7.0,False
"Elliot Anderson and Mary Kinzie discuss their book ""The Little Magazine in America: A Modern Documentary History""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F57743.mp3,/programs/elliot-anderson-and-mary-kinzie-discuss-their-book-little-magazine-america-modern,,"Mar. 7, 1979",1 sound tape reel (ca. 53.36 min.) : 10 1/2 in.,"53 minutes, 40 seconds",WAV,The Chicago History Museum,English,,1979-03-07,1979.0,3.0,7.0,True
"Discussing Oxfam's work in Nicaragua with Joseph Short, M.D.",,/programs/discussing-oxfams-work-nicaragua-joseph-short-md,"Oxfam partners with local organizations and provides funding and technical expertise to help find lasting solutions to poverty, suffering, and social and economic injustice.","Mar. 7, 1984",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 44 seconds",WAV,The Chicago History Museum,English,,1984-03-07,1984.0,3.0,7.0,False
"Interviewing political activist Frank Wilkinson, chairman of the National Committee Against Repressive Legislation (NCARL)",,/programs/interviewing-political-activist-frank-wilkinson-chairman-national-committee-against,"NCARL was formed to fight the McCarthyism of the 1950s and 1960s, and today continues to work to protect civil liberties.","Mar. 7, 1984",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 24 seconds",WAV,The Chicago History Museum,English,,1984-03-07,1984.0,3.0,7.0,False
Interview with Jill Conway,,/programs/interview-jill-conway,"Discussing women in American society, politics, economics, social ethics and the educational system with the President of Smith College, Jill Conway.","Mar. 7, 1984",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"57 minutes, 56 seconds",WAV,The Chicago History Museum,English,,1984-03-07,1984.0,3.0,7.0,False
Dave Frishberg in conversation with Studs Terkel,,/programs/dave-frishberg-conversation-studs-terkel,Interviewing pianist and songwriter David Frishberg.,"Mar. 7, 1984",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"1 hour, 3 minutes, 58 seconds",WAV,The Chicago History Museum,English,,1984-03-07,1984.0,3.0,7.0,False
Interviewing members of the Arditti String Quartet,,/programs/interviewing-members-arditti-string-quartet,Interviewing members of the Arditti String Quartet.,"Mar. 7, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"46 minutes, 34 seconds",WAV,The Chicago History Museum,English,,1988-03-07,1988.0,3.0,7.0,False
Interviewing pacifist Reverend William Sloane Coffin,,/programs/interviewing-pacifist-reverend-william-sloane-coffin,,"Mar. 7, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"44 minutes, 52 seconds",WAV,The Chicago History Museum,English,,1989-03-07,1989.0,3.0,7.0,False
"Edna Pardo, Eleanor Revell and Beth Kink discuss the work of The League of Women Voters",,/programs/edna-pardo-eleanor-revell-and-beth-kink-discuss-work-league-women-voters,"Discussing the work and the issues of The League of Women Voters with Edna Pardo, Eleanor Revell and Beth Kink.","Mar. 7, 1990",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"40 minutes, 33 seconds",WAV,The Chicago History Museum,English,,1990-03-07,1990.0,3.0,7.0,False
"Albert Finney, Ronald Harwood in conversation with Studs Terkel",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F33055.mp3,/programs/albert-finney-ronald-harwood-conversation-studs-terkel,"Discussing the play ""Another Time,"" with playwright Ronald Harwood and actor Albert Finney.","Mar. 7, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 31 seconds",WAV,The Chicago History Museum,English,,1991-03-07,1991.0,3.0,7.0,True
Interviewing British rock and roll journalist Ann Scanlon,,/programs/interviewing-british-rock-and-roll-journalist-ann-scanlon,,"Mar. 7, 1992",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 49 seconds",WAV,The Chicago History Museum,English,,1992-03-07,1992.0,3.0,7.0,False
"Tribute to Randy Shilts, journalist and chronicler of the AIDS epidemic",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F37919.mp3,/programs/tribute-randy-shilts-journalist-and-chronicler-aids-epidemic,"Program includes an excerpt of a discussion with Shilts about his book ""And the Band Played On: Politics, People, and the AIDS Epidemic.""","Mar. 7, 1994",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 23 seconds",WAV,The Chicago History Museum,English,,1994-03-07,1994.0,3.0,7.0,True
"Mary Norris Lloyd discusses her book "" A Dream of Mansions""",https://wfmt-studs-terkel.s3.amazonaws.com/published/42493.mp3,/programs/mary-norris-lloyd-discusses-her-book-dream-mansions,"Social activist and author Mary Norris Lloyd discusses her work and its reflection on Christian morality and views on the South. Topics covered include segregation, racism, and religion and how it has coincides with the issues of race.","Mar. 8, 1962",2 sound tape reels (ca. 65 min.) : 7 in.,"34 minutes, 4 seconds",,The Chicago History Museum,,,1962-03-08,1962.0,3.0,8.0,True
"Frances Cuka discusses the play ""A Taste of Honey"" and her career ; part 1",https://wfmt-studs-terkel.s3.amazonaws.com/published/55782.mp3,/programs/frances-cuka-discusses-play-taste-honey-and-her-career-part-1,"British actress Frances Cuka discusses the play ""A Taste of Honey"" and her career. Audio cuts off abruptly at the end of the interview.","Mar. 8, 1962",2 sound tape reels (ca. 60 min.) : 7 in.,"34 minutes, 14 seconds",WAV,The Chicago History Museum,English,,1962-03-08,1962.0,3.0,8.0,True
"Frances Cuka discusses the play ""A Taste of Honey"" and her career ; part 2",,/programs/frances-cuka-discusses-play-taste-honey-and-her-career-part-2,"British actress Frances Cuka discusses the play ""A Taste of Honey"" and her career. Audio cuts off abruptly at the end of the interview.","Mar. 8, 1962",2 sound tape reels (ca. 60 min.) : 7 in.,,WAV,The Chicago History Museum,English,,1962-03-08,1962.0,3.0,8.0,False
Interviewing Mary Norris Lloyd ; part 1,https://wfmt-studs-terkel.s3.amazonaws.com/published/42489.mp3,/programs/interviewing-mary-norris-lloyd-part-1,,"Mar. 8, 1962",2 sound tape reels (ca. 65 min.) : 7 in.,"32 minutes, 31 seconds",WAV,The Chicago History Museum,English,,1962-03-08,1962.0,3.0,8.0,True
"Studs talks with versatile actor, singer, performer Danny Kaye",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56297.mp3,/programs/studs-talks-versatile-actor-singer-performer-danny-kaye,"Studs talks with versatile actor, singer, performer Danny Kaye who opens up about his worldwide appeal to children and adults alike, relating to children on their terms, his father's influence, the skills and work that go into his crafts, and much more. Kaye reveals his lack of musical training yet details his comic conducting talents ala Victor Borge via his charity work. The conversation continues with talk of his variety show performances, his fondness for Señor Wences, the medium of television, and his knack for dialects. Original broadcast includes recordings of ""The Inch Worm"" from the film ""Hans Christian Andersen,"" ""Mommy, Gimme a Drinka Water,"" ""Tschaikowsky (and Other Russians)"" from ""Lady in the Dark,"" ""Molly Malone,"" ""The Babbitt and the Bromide,"" and ""Dinah"".","Mar. 8, 1963",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"42 minutes, 47 seconds",WAV,The Chicago History Museum,English,James Sherman,1963-03-08,1963.0,3.0,8.0,True
Alexander Tcherepnin discusses his childhood and career as a composer,https://s3.amazonaws.com/wfmt-studs-terkel/published/20085.mp3,/programs/alexander-tcherepnin-discusses-his-childhood-and-career-composer,Studs interview with Alexander Tcherepnin about his compositions for opera and a variety of instrumentals.  Tcherepnin shares his childhood in Saint Petersburg born into a family with a rich musical background.  He also shares his opinion about how Hitler affected the opera in Europe.  This edited version does not include the musical recordings played in the original version.,"Mar. 8, 1977",1 sound tape reel (ca. 59.35 min.) : 10 1/2 in.,"31 minutes, 7 seconds",WAV,The Chicago History Museum,English,,1977-03-08,1977.0,3.0,8.0,True
Oriana Fallaci in conversation with Studs Terkel,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F44251.mp3,/programs/oriana-fallaci-conversation-studs-terkel-0,,"Mar. 8, 1977",1 sound tape reel (ca. 58.08 min.) : 10 1/2 in.,"58 minutes, 13 seconds",WAV,The Chicago History Museum,English,,1977-03-08,1977.0,3.0,8.0,True
"Discussing the war in Zimbabwe, and the role of the Catholic Church in Africa with author Sister Janice McLaughlin",,/programs/discussing-war-zimbabwe-and-role-catholic-church-africa-author-sister-janice-mclaughlin,,"Mar. 8, 1979",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 29 seconds",WAV,The Chicago History Museum,English,,1979-03-08,1979.0,3.0,8.0,False
Interview with Dr. Helen Caldicott,,/programs/interview-dr-helen-caldicott,"Discussing the book ""Missile Envy: The Arms Race and Nuclear War,"" (published by Murrow) with the author, humanist and physician Dr. Helen Caldicott. Program also includes the opening of Studs' inaugural address.","Mar. 8, 1984",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"56 minutes, 12 seconds",WAV,The Chicago History Museum,English,,1984-03-08,1984.0,3.0,8.0,False
"Discussing the new Socialist government in Greece, traditional Greek culture, and U.S. and Greek diplomatic relations with former actress and Greek Minister of Culture Melina Mercouri and Former First Lady of Greece and peace activist Margarita Papandreou",,/programs/discussing-new-socialist-government-greece-traditional-greek-culture-and-us-and-greek,,"Mar. 8, 1984",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"48 minutes, 29 seconds",WAV,The Chicago History Museum,English,,1984-03-08,1984.0,3.0,8.0,False
Dr. Evan Davies discusses World AIDS Day,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F32412.mp3,/programs/dr-evan-davies-discusses-world-aids-day,,"Mar. 8, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 59 seconds",WAV,The Chicago History Museum,English,,1988-03-08,1988.0,3.0,8.0,True
Tribute to Chicago journalist and literary critic Herman Kogan,,/programs/tribute-chicago-journalist-and-literary-critic-herman-kogan,Tribute to Herman Kogan,"Mar. 8, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 28 seconds",WAV,The Chicago History Museum,English,,1989-03-08,1989.0,3.0,8.0,False
Francine du Plessix Gray discusses her book “Soviet Women: Walking the Tightrope”,,/programs/discussing-book-soviet-women-walking-tightrope-author-francine-du-plessix-gray,"Author Francine du Plessix Gray discusses and reads from her book “Soviet Women: Walking the Tightrope”. Studs plays ""Chastushki"" - Zinaida Kozakova (1961).","Mar. 8, 1990",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 17 seconds",WAV,The Chicago History Museum,English,,1990-03-08,1990.0,3.0,8.0,False
Nelson Algren discusses love of a city,https://s3.amazonaws.com/wfmt-studs-terkel/published/1821.mp3,/programs/nelson-algren-discusses-love-city,"Author Nelson Algren discusses what it means to love a city, the re-release of his book, ""Chicago: City on the Make,"" and his interactions with Irish writer and playwright, Brendan Behan.  ","Mar. 9, 1961",1 sound tape reel (ca. 25 min.) : 7 in.,"24 minutes, 31 seconds",WAV,The Chicago History Museum,English,,1961-03-09,1961.0,3.0,9.0,True
"Russell Barrett discusses his book, ""Integration at Ole Miss""",,/programs/russell-barrett-discusses-his-book-integration-ole-miss,"Political science professor and author Russell Barrett discusses and reads excerpts from his book, “Integration at Ole Miss.” He examines the legal challenges, apathy, and aggression that contributed to the build up of racial tensions leading to the enrollment of the University of Mississippi’s first black student — James Meredith — and the resulting riots and violence. Includes a recording of the Chad Mitchell Trio singing ""Alma Mater (About Ole Miss)."" ","Mar. 9, 1965",1 sound tape reel (ca. 56 min.) : 10 1/2 in.,"55 minutes, 59 seconds",WAV,The Chicago History Museum,English,,1965-03-09,1965.0,3.0,9.0,False
"Francis Edmonds discusses education and the Waldorf School, part 2",https://s3.amazonaws.com/wfmt-studs-terkel/published/7693.mp3,/programs/francis-edmonds-discusses-education-and-waldorf-school-part-2,"Educator Francis Edmonds discusses education and the Waldorf School, part 2 of 2. Topics include the London Waldorf School philosophy, which can be summed up by a quote from founder Rudolf Steiner-- ""Accept the children with reverence, educate them with love, send them forth in freedom.""","Mar. 9, 1970","2 sound tape reels (ca. 49.20 min.): 7 in. Copy-T2677A,B.","14 minutes, 7 seconds",WAV,The Chicago History Museum,English,,1970-03-09,1970.0,3.0,9.0,True
"Francis Edmonds discusses education and the Waldorf School, part 1",https://s3.amazonaws.com/wfmt-studs-terkel/published/7697.mp3,/programs/francis-edmonds-discusses-education-and-waldorf-school-part-1,"Educator Francis Edmonds discusses education and the Waldorf School, part 1 of 2. Topics include art therapy, color philosophy, and the London Waldorf School philosophy, which can be summed up by a quote from founder Rudolf Steiner-- ""Accept the children with reverence, educate them with love, send them forth in freedom."" The interview also includes a brief clip from Mr. Ogletree from the Esperanza School in Chicago.","Mar. 9, 1970","2 sound tape reels (ca. 49.20 min.): 7 in. Copy-T2677A,B.","34 minutes, 47 seconds",WAV,The Chicago History Museum,English,,1970-03-09,1970.0,3.0,9.0,True
Jean-Pierre Debris and Andres Menras discuss their experiences as political prisoners in Vietnam,https://s3.amazonaws.com/wfmt-studs-terkel/published/7285.mp3,/programs/jean-pierre-debris-and-andres-menras-discuss-their-experiences-political-prisoners-vietnam,French schoolteachers Jean-Pierre Debris and Andres Menras discuss their experiences  as political prisoners in Vietnam,"Mar. 9, 1973",1 sound tape reel (ca. 60.55 min.) : 10 1/2 in. Copy-T2354.,1 second,WAV,The Chicago History Museum,English,,1973-03-09,1973.0,3.0,9.0,True
Terkel comments and presents musical performance of Barbara Carroll,https://s3.amazonaws.com/wfmt-studs-terkel/published/19574.mp3,/programs/terkel-comments-and-presents-musical-performance-barbara-carroll,Presenting music with jazz pianist Barbara Carroll.,"Mar. 9, 1977",1 sound tape reel (ca. 52.51 min.) : 10 1/2 in.,"22 minutes, 50 seconds",WAV,The Chicago History Museum,English,,1977-03-09,1977.0,3.0,9.0,True
Robert Engler in conversation with Studs Terkel,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F31273.mp3,/programs/robert-engler-conversation-studs-terkel,,"Mar. 9, 1978",1 sound tape reel (ca. 52.02 min.) : 10 1/2 in.,"52 minutes, 5 seconds",WAV,The Chicago History Museum,English,,1978-03-09,1978.0,3.0,9.0,True
"Mark Girouard discusses his book ""Life in the English country house""",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F23385.mp3,/programs/mark-girouard-discusses-his-book-life-english-country-house,,"Mar. 9, 1979",1 sound tape reel (ca. 45.10 min.) : 10 1/2 in.,"45 minutes, 16 seconds",WAV,The Chicago History Museum,English,,1979-03-09,1979.0,3.0,9.0,True
"Discussing the book ""Hunger of memory: the education of Richard Rodriquez"" with the author Richard Rodriquez",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F22849.mp3,/programs/discussing-book-hunger-memory-education-richard-rodriquez-author-richard-rodriquez,"Discussing the book ""Hunger of memory: the education of Richard Rodriquez"" with the author Richard Rodriquez.
","Mar. 9, 1982",1 sound tape reel (ca. 52.48 min.) : 10 1/2 in.,"52 minutes, 53 seconds",WAV,The Chicago History Museum,English,,1982-03-09,1982.0,3.0,9.0,True
Dr. Kosta Tsipis discusses the dangers of nuclear war,,/programs/dr-kosta-tsipis-discusses-dangers-nuclear-war,"Discussing the dangers of nuclear war and its effect on people with nuclear physicist and co-director of the program of Science and Technology at MIT, Dr. Kosta Tsipis.","Mar. 9, 1982",1 sound tape reel (ca. 55.14 min.) : 10 1/2 in. Edited copy-T2749.12.,"55 minutes, 20 seconds",WAV,The Chicago History Museum,English,,1982-03-09,1982.0,3.0,9.0,False
Interviewing double bassist David Walter,,/programs/interviewing-double-bassist-david-walter,,"Mar. 9, 1987",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 15 seconds",WAV,The Chicago History Museum,English,,1987-03-09,1987.0,3.0,9.0,False
"Discussing ""Emperor of the Air: Stories"" with the author Ethan Canin",,/programs/discussing-emperor-air-stories-author-ethan-canin,,"Mar. 9, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 47 seconds",,Chicago History Museum,,,1988-03-09,1988.0,3.0,9.0,False
"Discussing the book ""The Demon Lover: On the Sexuality of Terrorism"" with  Robin Morgan",,/programs/discussing-book-demon-lover-sexuality-terrorism-robin-morgan,,"Mar. 9, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"57 minutes, 34 seconds",WAV,The Chicago History Museum,English,,1989-03-09,1989.0,3.0,9.0,False
Discussing the loss of innocence with novelist Irini Spanidou,,/programs/discussing-loss-innocence-novelist-irini-spanidou,,"Mar. 9, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"50 minutes, 7 seconds",WAV,The Chicago History Museum,English,,1989-03-09,1989.0,3.0,9.0,False
"Discussing the book ""The Splendid Blond Beast: Money, Law, and Genocide in the Twentieth Century"" with the author, historian and journalist Christopher Simpson",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F37997.mp3,/programs/discussing-book-splendid-blond-beast-money-law-and-genocide-twentieth-century-author,,"Mar. 9, 1993",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 21 seconds",WAV,The Chicago History Museum,English,,1993-03-09,1993.0,3.0,9.0,True
Elma Stuckey reads from and discusses her poetry,,/programs/elma-stuckey-reads-and-discusses-her-poetry,"Stuckey talks about her childhood in Memphis, writing ""in the dialect"", and reads ""Rigamarole"", ""Daylight Savings Time"", ""Defense"", ""Old Man"" and ""Old King Cotton"".","Mar. 10, 1961","1 sound tape reel (ca. 60 min.) : 7 in., 1 sound tape reel (ca. 52.29 min.) : 10 1/2 in.","29 minutes, 46 seconds",WAV,The Chicago History Museum,English,,1961-03-10,1961.0,3.0,10.0,False
Aaron Copland discusses his career,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56800.mp3,/programs/aaron-copland-discusses-his-career,"Aaron Copland discusses his music, his colleagues, contemporaries, musicians, and composers.","Mar. 10, 1961",,"48 minutes, 46 seconds",,Chicago History Museum,,,1961-03-10,1961.0,3.0,10.0,True
"John Cage and Merce Cunningham discuss their collaborations, careers, choreography, and music",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F22543.mp3,/programs/john-cage-and-merce-cunningham-discuss-their-collaborations-careers-choreography-and-music,John Cage and Merce Cunningham discuss their collaborations of choreography and music. They discuss their influences and careers. Includes a clip of an earlier interview with John Cage.,"Mar. 10, 1975",1 sound tape reel (ca. 47.15 min.) : 10 1/2 in.,"47 minutes, 9 seconds",WAV,The Chicago History Museum,English,,1975-03-10,1975.0,3.0,10.0,True
"Fitzhugh Mullan discusses his book ""White coat clenched fist""",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F23452.mp3,/programs/fitzhugh-mullan-discusses-his-book-white-coat-clenched-fist,,"Mar. 10, 1977","1 sound tape reel (ca. 55.33 min.) : 10 1/2 in., 1 sound tape reel (ca. 55.33 min.) : 10 1/2 in.","55 minutes, 40 seconds","WAV, WAV","The Chicago History Museum, The Chicago History Museum","English, English",,1977-03-10,1977.0,3.0,10.0,True
"John and Karen Hess discuss their book ""The Taste of America""",,/programs/john-and-karen-hess-discuss-their-book-taste-america,"With their book, ""The Taste of America,"" John Hess said they tried to show what killed people's pleasures of eating. Karen Hess said fancy and expensive foods are now taking the place of good food. They both point out that today's food has no taste, no substance and no flavor.","Mar. 10, 1977",1 sound tape reel (ca. 54.15 min.) : 10 1/2 in.,"54 minutes, 19 seconds",WAV,The Chicago History Museum,English,,1977-03-10,1977.0,3.0,10.0,False
Interview with Larry Adler with a Guthrie memorial post script,,/programs/interview-larry-adler-guthrie-memorial-post-script,"Interviewing harmonica player Larry Adler and singer, songwriter, musician and activist Woody Guthrie. The original date of the recording of this interview is uncertain because Guthrie, who died in 1967, was present at this interview.","Mar. 10, 1977",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 16 seconds",WAV,The Chicago History Museum,English,,1977-03-10,1977.0,3.0,10.0,False
